title,image_url
Koto no Shidai,https://cdn.myanimelist.net/images/anime/10/86847.jpg
Ganbare! Marine Kid,https://cdn.myanimelist.net/images/anime/9/24675.jpg
Kanojo x Kanojo x Kanojo: Sanshimai to no DokiDoki Kyoudou Seikatsu,https://cdn.myanimelist.net/images/anime/2/17720.jpg
Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai dayo!!,https://cdn.myanimelist.net/images/anime/13/72853.jpg
Tick Tock,https://cdn.myanimelist.net/images/anime/6/84139.jpg
Crayon Shin-chan x Panpaka Pants: Aeon Cinema Manner Movie Collab,https://cdn.myanimelist.net/images/anime/8/84745.jpg
Yakin Byoutou Ni,https://cdn.myanimelist.net/images/anime/10/44273.jpg
Tennis no Ouji-sama,https://cdn.myanimelist.net/images/anime/6/21624.jpg
Egao,https://cdn.myanimelist.net/images/anime/6/68979.jpg
Raldessia Chronicles,https://cdn.myanimelist.net/images/anime/4/77367.jpg
Gunnm,https://cdn.myanimelist.net/images/anime/11/41257.jpg
Velvet Underworld: Alternative,https://cdn.myanimelist.net/images/anime/6/85581.jpg
Ukkari Pénélope (2009),https://cdn.myanimelist.net/images/anime/2/21982.jpg
Akai Kiba: Blue Sonnet,https://cdn.myanimelist.net/images/anime/7/41071.jpg
The Aurora: Umi no Aurora,https://cdn.myanimelist.net/images/anime/3/15747.jpg
Kami nomi zo Shiru Sekai: Natsu-iro Surprise,https://cdn.myanimelist.net/images/anime/3/32325.jpg
Beat Shot!!,https://cdn.myanimelist.net/images/anime/11/16823.jpg
T7S Longing for Summer Again and Again: Harukaze,https://cdn.myanimelist.net/images/anime/3/84343.jpg
Detective Conan Movie 21: The Crimson Love Letter,https://cdn.myanimelist.net/images/anime/2/83919.jpg
Kakko Kawaii Sengen!,https://cdn.myanimelist.net/images/anime/11/26662.jpg
Punky Funky Baby,https://cdn.myanimelist.net/images/anime/10/70431.jpg
Na mo Nai Hana no Youni,https://cdn.myanimelist.net/images/anime/8/87822.jpg
Mechakko Dotakon,https://cdn.myanimelist.net/images/anime/3/61425.jpg
Hello Kitty no Yume no Oshiro no Ouji-sama,https://cdn.myanimelist.net/images/anime/7/58713.jpg
Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?,https://cdn.myanimelist.net/images/anime/9/25283.jpg
Raja Maharaja,https://cdn.myanimelist.net/images/anime/12/23872.jpg
Ranma ½: DoCo Music Video,https://cdn.myanimelist.net/images/anime/10/29887.jpg
Umbrella Fighter!,https://cdn.myanimelist.net/images/anime/7/83668.jpg
Akai Jitensha,https://cdn.myanimelist.net/images/anime/12/64039.jpg
Zhan Long Si Qu,https://cdn.myanimelist.net/images/anime/4/76386.jpg
Tang Lang Bu Chan,https://cdn.myanimelist.net/images/anime/4/76910.jpg
To Heart 2 AD Plus,https://cdn.myanimelist.net/images/anime/13/74022.jpg
Donna Donna,https://cdn.myanimelist.net/images/anime/4/24063.jpg
