MAL_ID,Name,English name
462,One Piece Movie 4: Dead End no Bouken,One Piece:Dead End
463,One Piece Movie 5: Norowareta Seiken,One Piece:The Curse of the Sacred Sword
464,One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima,One Piece:Baron Omatsuri and the Secret Island
465,One Piece Movie 7: Karakuri-jou no Mecha Kyohei,Unknown
466,One Piece: Taose! Kaizoku Ganzack,One Piece:Defeat the Pirate Ganzack!
467,Koukaku Kidoutai: Stand Alone Complex,Ghost in the Shell:Stand Alone Complex
468,Innocence,Ghost in the Shell 2:Innocence
469,Karin,Karin
470,Okusama wa Joshikousei (TV),My Wife is a High School Girl
471,To Heart 2,To Heart 2
472,To Heart,To Heart
473,Tide-Line Blue,Unknown
474,Macross Plus,Unknown
475,Hotori: Tada Saiwai wo Koinegau,Unknown
476,Ginban Kaleidoscope,Skating Rink Kaleidoscope
477,Aria the Animation,Aria the Animation
478,Sousei no Aquarion,Aquarion
479,Ueki no Housoku,The Law of Ueki
481,Yu☆Gi☆Oh! Duel Monsters,Yu-Gi-Oh!
482,Yu☆Gi☆Oh!: Duel Monsters GX,Yu-Gi-Oh! GX
483,Kurau Phantom Memory,Unknown
484,Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,Saiyuki:Requiem
485,Damekko Doubutsu,Unknown
486,Kino no Tabi: The Beautiful World,Kino's Journey
487,Girls Bravo: Second Season,Girls Bravo:Second Season
488,Ichigo Mashimaro,Strawberry Marshmallow
489,Kamichu!,Kamichu!
490,Paniponi Dash!,Pani Poni Dash!
492,Armitage III: Dual-Matrix,Unknown
493,Armitage III: Poly-Matrix,Unknown
495,Bakuretsu Hunters,Sorcerer Hunters
496,Kamui no Ken,Unknown
497,Yami to Boushi to Hon no Tabibito,"Yamibo:Darkness, The Hat and the Travelers of the Books"
498,Haja Taisei Dangaiou,Great Planet Evil-Destroyer Dangaio
499,Makai Toshi Shinjuku,Demon City Shinjuku
501,Doraemon,Unknown
502,Dragon Ball Movie 1: Shen Long no Densetsu,Dragon Ball:Curse of the Blood Rubies
503,Eien no Aselia,The Eternal Aseria
504,Fatal Fury: The Motion Picture,Fatal Fury:The Motion Picture
505,Fushigiboshi no☆Futagohime,Unknown
506,Glass no Kamen,Unknown
507,Gravitation: Lyrics of Love,Unknown
508,Tottoko Hamtarou,Hamtaro
509,I My Me! Strawberry Eggs,I My Me! Strawberry Eggs
510,Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,Kakyusei 2
511,Kidou Shinsengumi Moeyo Ken TV,Moeyo Ken TV
512,Majo no Takkyuubin,Kiki's Delivery Service
513,Tenkuu no Shiro Laputa,Castle in the Sky
514,Cossette no Shouzou,Le Portrait de Petit Cossette
515,Hajimari no Boukensha-tachi: Legend of Crystania,Legend of Crystania:The Motion Picture
516,Keroro Gunsou,Sgt. Frog
517,School Rumble: Ichi Gakki Hoshuu,Unknown
518,Mahou no Princess Minky Momo,Magical Princess Minky Momo
519,Mahoraba: Heartful days,Unknown
520,Marmalade Boy Movie,Unknown
521,Mermaid Melody Pichi Pichi Pitch,Mermaid Melody:Pichi Pichi Pitch
522,Metropolis,Unknown
523,Tonari no Totoro,My Neighbor Totoro
524,Onegai☆Twins: Natsu wa Owaranai,Unknown
525,Otogizoushi,Otogi Zoshi:The Legend of Magatama
